pokedex_number,name,classfication,generation,is_legendary,type1,type2,abilities,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,experience_growth,base_happiness,base_egg_steps,height_m,weight_kg,percentage_male
104,Cubone,Lonely Pokemon,1,0,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",320,50,50,95,40,50,35,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,190,1000000,70,5120,0.4,6.5,50
105,Marowak,Bone Keeper Pokemon,1,0,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",425,60,80,110,50,80,45,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,1000000,70,5120,,,50
106,Hitmonlee,Kicking Pokemon,1,0,fighting,,"['Limber', 'Reckless', 'Unburden']",455,50,120,53,35,110,87,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,1000000,70,6400,1.5,49.8,100
107,Hitmonchan,Punching Pokemon,1,0,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",455,50,105,79,35,110,76,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,1000000,70,6400,1.4,50.2,100
108,Lickitung,Licking Pokemon,1,0,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",385,90,55,75,60,75,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,1000000,70,5120,1.2,65.5,50
109,Koffing,Poison Gas Pokemon,1,0,poison,,['Levitate'],340,40,65,95,60,45,35,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,190,1000000,70,5120,0.6,1,50
110,Weezing,Poison Gas Pokemon,1,0,poison,,['Levitate'],490,65,90,120,85,70,60,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,1000000,70,5120,1.2,9.5,50
111,Rhyhorn,Spikes Pokemon,1,0,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",345,80,85,95,30,30,25,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,1250000,70,5120,1,115,50
112,Rhydon,Drill Pokemon,1,0,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",485,105,130,120,45,45,40,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,60,1250000,70,5120,1.9,120,50
113,Chansey,Egg Pokemon,1,0,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",450,250,5,5,35,105,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,800000,140,10240,1.1,34.6,0
114,Tangela,Vine Pokemon,1,0,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",435,65,55,115,100,40,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,1000000,70,5120,1,35,50
115,Kangaskhan,Parent Pokemon,1,0,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",590,105,125,100,60,100,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,1000000,70,5120,2.2,80,0
116,Horsea,Dragon Pokemon,1,0,water,,"['Swift Swim', 'Sniper', 'Damp']",295,30,40,70,70,25,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,1000000,70,5120,0.4,8,50
117,Seadra,Dragon Pokemon,1,0,water,,"['Poison Point', 'Sniper', 'Damp']",440,55,65,95,95,45,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,1000000,70,5120,1.2,25,50
118,Goldeen,Goldfish Pokemon,1,0,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",320,45,67,60,35,50,63,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,1000000,70,5120,0.6,15,50
119,Seaking,Goldfish Pokemon,1,0,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",450,80,92,65,65,80,68,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,1000000,70,5120,1.3,39,50
120,Staryu,Starshape Pokemon,1,0,water,,"['Illuminate', 'Natural Cure', 'Analytic']",340,30,45,55,70,55,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,1250000,70,5120,0.8,34.5,
121,Starmie,Mysterious Pokemon,1,0,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",520,60,75,85,100,85,115,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,60,1250000,70,5120,1.1,80,
122,Mr. Mime,Barrier Pokemon,1,0,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",460,40,45,65,100,120,90,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,1000000,70,6400,1.3,54.5,50
123,Scyther,Mantis Pokemon,1,0,bug,flying,"['Swarm', 'Technician', 'Steadfast']",500,70,110,80,55,80,105,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,1000000,70,6400,1.5,56,50
124,Jynx,Humanshape Pokemon,1,0,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",455,65,50,35,115,95,95,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,1000000,70,6400,1.4,40.6,0
125,Electabuzz,Electric Pokemon,1,0,electric,,"['Static', 'Vital Spirit']",490,65,83,57,95,85,105,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,1000000,70,6400,1.1,30,75.4
126,Magmar,Spitfire Pokemon,1,0,fire,,"['Flame Body', 'Vital Spirit']",495,65,95,57,100,85,93,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1000000,70,6400,1.3,44.5,75.4
127,Pinsir,Stagbeetle Pokemon,1,0,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",600,65,155,120,65,90,105,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,1250000,70,6400,1.5,55,50
128,Tauros,Wild Bull Pokemon,1,0,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",490,75,100,95,40,70,110,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,1250000,70,5120,1.4,88.4,100
129,Magikarp,Fish Pokemon,1,0,water,,"['Swift Swim', 'Rattled']",200,20,10,55,15,20,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,255,1250000,70,1280,0.9,10,50
130,Gyarados,Atrocious Pokemon,1,0,water,flying,"['Intimidate', 'Moxie']",640,95,155,109,70,130,81,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,45,1250000,70,1280,6.5,235,50
131,Lapras,Transport Pokemon,1,0,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",535,130,85,80,85,95,60,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,45,1250000,70,10240,2.5,220,50
132,Ditto,Transform Pokemon,1,0,normal,,"['Limber', 'Imposter']",288,48,48,48,48,48,48,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,1000000,70,5120,0.3,4,
133,Eevee,Evolution Pokemon,1,0,normal,,"['Run Away', 'Adaptability', 'Anticipation']",325,55,55,50,45,65,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,1000000,70,8960,0.3,6.5,88.1
134,Vaporeon,Bubble Jet Pokemon,1,0,water,,"['Water Absorb', 'Hydration']",525,130,65,60,110,95,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1000000,70,8960,1,29,88.1
135,Jolteon,Lightning Pokemon,1,0,electric,,"['Volt Absorb', 'Quick Feet']",525,65,65,60,110,95,130,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,1000000,70,8960,0.8,24.5,88.1
136,Flareon,Flame Pokemon,1,0,fire,,"['Flash Fire', 'Guts']",525,65,130,60,95,110,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1000000,70,8960,0.9,25,88.1
137,Porygon,Virtual Pokemon,1,0,normal,,"['Trace', 'Download', 'Analytic']",395,65,60,70,85,75,40,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,1000000,70,5120,0.8,36.5,
138,Omanyte,Spiral Pokemon,1,0,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",355,35,40,100,90,55,35,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,1000000,70,7680,0.4,7.5,88.1
139,Omastar,Spiral Pokemon,1,0,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",495,70,60,125,115,70,55,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,1000000,70,7680,1,35,88.1
140,Kabuto,Shellfish Pokemon,1,0,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",355,30,80,90,55,45,55,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,1000000,70,7680,0.5,11.5,88.1
141,Kabutops,Shellfish Pokemon,1,0,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",495,60,115,105,65,70,80,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,1000000,70,7680,1.3,40.5,88.1
142,Aerodactyl,Fossil Pokemon,1,0,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",615,80,135,85,70,95,150,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,45,1250000,70,8960,1.8,59,88.1
143,Snorlax,Sleeping Pokemon,1,0,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",540,160,110,65,65,110,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,25,1250000,70,10240,2.1,460,88.1
144,Articuno,Freeze Pokemon,1,1,ice,flying,"['Pressure', 'Snow Cloak']",580,90,85,100,95,125,85,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,3,1250000,35,20480,1.7,55.4,
145,Zapdos,Electric Pokemon,1,1,electric,flying,"['Pressure', 'Static']",580,90,90,85,125,90,100,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,3,1250000,35,20480,1.6,52.6,
146,Moltres,Flame Pokemon,1,1,fire,flying,"['Pressure', 'Flame Body']",580,90,100,90,125,85,90,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,3,1250000,35,20480,2,60,
147,Dratini,Dragon Pokemon,1,0,dragon,,"['Shed Skin', 'Marvel Scale']",300,41,64,45,50,50,50,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,45,1250000,35,10240,1.8,3.3,50
148,Dragonair,Dragon Pokemon, ,0,dragon,,"['Shed Skin', 'Marvel Scale']",420,61,84,65,70,70,70,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,45,1250000,35,10240,4,16.5,50
149,Dragonite,Dragon Pokemon,1,0,dragon,flying,"['Inner Focus', 'Multiscale']",600,91,134,95,100,100,80,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,45,1250000,35,10240,2.2,210,50
150,Mewtwo,Genetic Pokemon,1,1,psychic,,"['Pressure', 'Unnerve']",780,106,150,70,194,120,140,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,3,1250000,0,30720,2,122,
151,Mew,New Species Pokemon,1,1,psychic,,['Synchronize'],600,100,100,100,100,100,100,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,1059860,100,30720,0.4,4,
152,Chikorita,Leaf Pokemon,2,0,grass,,"['Overgrow', 'Leaf Guard']",318,45,49,65,49,65,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,1059860,70,5120,0.9,6.4,88.1
153,Bayleef,Leaf Pokemon,2,0,grass,,"['Overgrow', 'Leaf Guard']",405,60,62,80,63,80,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,1059860,70,5120,1.2,15.8,88.1
154,Meganium,Herb Pokemon,2,0,grass,,"['Overgrow', 'Leaf Guard']",525,80,82,100,83,100,80,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,1059860,70,5120,1.8,100.5,88.1
155,Cyndaquil,Fire Mouse Pokemon,2,0,fire,,"['Blaze', 'Flash Fire']",309,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1059860,70,5120,0.5,7.9,88.1
156,Quilava,Volcano Pokemon,2,0,fire,,"['Blaze', 'Flash Fire']",405,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1059860,70,5120,0.9,19,88.1
157,Typhlosion,Volcano Pokemon,2,0,fire,,"['Blaze', 'Flash Fire']",534,78,84,78,109,85,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1059860,70,5120,1.7,79.5,88.1
158,Totodile,Big Jaw Pokemon,2,0,water,,"['Torrent', 'Sheer Force']",314,50,65,64,44,48,43,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,0.6,9.5,88.1
159,Croconaw,Big Jaw Pokemon,2,0,water,,"['Torrent', 'Sheer Force']",405,65,80,80,59,63,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,1.1,25,88.1
160,Feraligatr,Big Jaw Pokemon,2,0,water,,"['Torrent', 'Sheer Force']",530,85,105,100,79,83,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,2.3,88.8,88.1
161,Sentret,Scout Pokemon,2,0,normal,,"['Run Away', 'Keen Eye', 'Frisk']",215,35,46,34,35,45,20,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,1000000,70,3840,0.8,6,50
162,Furret,Long Body Pokemon,2,0,normal,,"['Run Away', 'Keen Eye', 'Frisk']",415,85,76,64,45,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1000000,70,3840,1.8,32.5,50
163,Hoothoot,Owl Pokemon,2,0,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",262,60,30,30,36,56,50,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,1000000,70,3840,0.7,21.2,50
164,Noctowl,Owl Pokemon,2,0,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",452,100,50,50,86,96,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,1000000,70,3840,1.6,40.8,50
165,Ledyba,Five Star Pokemon,2,0,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",265,40,20,30,40,80,55,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,255,800000,70,3840,1,10.8,50
166,Ledian,Five Star Pokemon,2,0,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",390,55,35,50,55,110,85,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,800000,70,3840,1.4,35.6,50
167,Spinarak,String Spit Pokemon,2,0,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",250,40,60,40,40,40,30,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,800000,70,3840,0.5,8.5,50
168,Ariados,Long Leg Pokemon,2,0,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",400,70,90,70,60,70,40,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,800000,70,3840,1.1,33.5,50
169,Crobat,Bat Pokemon,2,0,poison,flying,"['Inner Focus', 'Infiltrator']",535,85,90,80,70,80,130,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,1000000,70,3840,1.8,75,50
170,Chinchou,Angler Pokemon,2,0,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",330,75,38,38,56,56,67,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,190,1250000,70,5120,0.5,12,50
171,Lanturn,Light Pokemon,2,0,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",460,125,58,58,76,76,67,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,75,1250000,70,5120,1.2,22.5,50
172,Pichu,Tiny Mouse Pokemon,2,0,electric,,"['Static', 'Lightningrod']",205,20,40,15,35,35,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,1000000,70,2560,0.3,2,50
173,Cleffa,Star Shape Pokemon,2,0,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",218,50,25,28,45,55,15,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,150,800000,140,2560,0.3,3,24.6
174,Igglybuff,Balloon Pokemon,2,0,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",210,90,30,15,40,20,15,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,170,800000,70,2560,0.3,1,24.6
175,Togepi,Spike Ball Pokemon,2,0,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",245,35,20,65,40,65,20,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,190,800000,70,2560,0.3,1.5,88.1
176,Togetic,Happiness Pokemon,2,0,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",405,55,40,85,80,105,40,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,75,800000,70,2560,0.6,3.2,88.1
177,Natu,Little Bird Pokemon,2,0,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",320,40,50,45,70,45,70,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,190,1000000,70,5120,0.2,2,50
178,Xatu,Mystic Pokemon,2,0,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",470,65,75,70,95,70,95,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,1000000,70,5120,1.5,15,50
179,Mareep,Wool Pokemon,2,0,electric,,"['Static', 'Plus']",280,55,40,40,65,45,35,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,235,1059860,70,5120,0.6,7.8,50
180,Flaaffy,Wool Pokemon,2,0,electric,,"['Static', 'Plus']",365,70,55,55,80,60,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,120,1059860,70,5120,0.8,13.3,50
181,Ampharos,Light Pokemon,2,0,electric,,"['Static', 'Plus']",610,90,95,105,165,110,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,1059860,70,5120,1.4,61.5,50
182,Bellossom,Flower Pokemon,2,0,grass,,"['Chlorophyll', 'Healer']",490,75,80,95,90,100,50,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,1059860,70,5120,0.4,5.8,50
183,Marill,Aquamouse Pokemon,2,0,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",250,70,20,50,20,50,40,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,190,800000,70,2560,0.4,8.5,50
184,Azumarill,Aquarabbit Pokemon,2,0,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",420,100,50,80,60,80,50,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,75,800000,70,2560,0.8,28.5,50
185,Sudowoodo,Imitation Pokemon,2,0,rock,,"['Sturdy', 'Rock Head', 'Rattled']",410,70,100,115,30,65,30,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,65,1000000,70,5120,1.2,38,50
186,Politoed,Frog Pokemon,2,0,water,,"['Water Absorb', 'Damp', 'Drizzle']",500,90,75,75,90,100,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,1.1,33.9,50
187,Hoppip,Cottonweed Pokemon,2,0,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",250,35,35,40,35,55,50,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,255,1059860,70,5120,0.4,0.5,50
188,Skiploom,Cottonweed Pokemon,2,0,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",340,55,45,50,45,65,80,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,120,1059860,70,5120,0.6,1,50
189,Jumpluff,Cottonweed Pokemon,2,0,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",460,75,55,70,55,95,110,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,1059860,70,5120,0.8,3,50
190,Aipom,Long Tail Pokemon,2,0,normal,,"['Run Away', 'Pickup', 'Skill Link']",360,55,70,55,40,55,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,800000,70,5120,0.8,11.5,50
191,Sunkern,Seed Pokemon,2,0,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",180,30,30,30,30,30,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,235,1059860,70,5120,0.3,1.8,50
192,Sunflora,Sun Pokemon,2,0,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",425,75,75,55,105,85,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,120,1059860,70,5120,0.8,8.5,50
193,Yanma,Clear Wing Pokemon,2,0,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",390,65,65,45,75,45,95,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,75,1000000,70,5120,1.2,38,50
194,Wooper,Water Fish Pokemon,2,0,water,ground,"['Damp', 'Water Absorb', 'Unaware']",210,55,45,45,25,25,15,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,255,1000000,70,5120,0.4,8.5,50
195,Quagsire,Water Fish Pokemon,2,0,water,ground,"['Damp', 'Water Absorb', 'Unaware']",430,95,85,85,65,65,35,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,90,1000000,70,5120,1.4,75,50
196,Espeon,Sun Pokemon,2,0,psychic,,"['Synchronize', 'Magic Bounce']",525,65,65,60,130,95,110,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,1000000,70,8960,0.9,26.5,88.1
197,Umbreon,Moonlight Pokemon,2,0,dark,,"['Synchronize', 'Inner Focus']",525,95,65,110,60,130,65,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,45,1000000,35,8960,1,27,88.1
198,Murkrow,Darkness Pokemon,2,0,dark,flying,"['Insomnia', 'Super Luck', 'Prankster']",405,60,85,42,85,42,91,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,30,1059860,35,5120,0.5,2.1,50
199,Slowking,Royal Pokemon,2,0,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",490,95,75,80,100,110,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,1000000,70,5120,2,79.5,50
200,Misdreavus,Screech Pokemon,2,0,ghost,,['Levitate'],435,60,60,60,85,85,85,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,45,800000,35,6400,0.7,1,50
201,Unown,Symbol Pokemon,2,0,psychic,,['Levitate'],336,48,72,48,72,48,48,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,225,1000000,70,10240,0.5,5,
202,Wobbuffet,Patient Pokemon,2,0,psychic,,"['Shadow Tag', 'Telepathy']",405,190,33,58,33,58,33,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,1000000,70,5120,1.3,28.5,50
203,Girafarig,Long Neck Pokemon,2,0,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",455,70,80,65,90,65,85,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,60,1000000,70,5120,1.5,41.5,50
204,Pineco,Bagworm Pokemon,2,0,bug,,"['Sturdy', 'Overcoat']",290,50,65,90,35,35,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,190,1000000,70,5120,0.6,7.2,50
205,Forretress,Bagworm Pokemon,2,0,bug,steel,"['Sturdy', 'Overcoat']",465,75,90,140,60,60,40,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,75,1000000,70,5120,1.2,125.8,50
206,Dunsparce,Land Snake Pokemon,2,0,normal,,"['Serene Grace', 'Run Away', 'Rattled']",415,100,70,70,65,65,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,190,1000000,70,5120,1.5,14,50
207,Gligar,Flyscorpion Pokemon,2,0,ground,flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",430,65,75,105,35,65,85,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,60,1059860,70,5120,1.1,64.8,50
208,Steelix,Iron Snake Pokemon,2,0,steel,ground,"['Rock Head', 'Sturdy', 'Sheer Force']",610,75,125,230,55,95,30,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,25,1000000,70,6400,9.2,400,50
209,Snubbull,Fairy Pokemon,2,0,fairy,,"['Intimidate', 'Run Away', 'Rattled']",300,60,80,50,40,40,30,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,190,800000,70,5120,0.6,7.8,24.6
210,Granbull,Fairy Pokemon,2,0,fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",450,90,120,75,60,60,45,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,75,800000,70,5120,1.4,48.7,24.6
211,Qwilfish,Balloon Pokemon,2,0,water,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",440,65,95,85,55,55,85,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,45,1000000,70,5120,0.5,3.9,50
212,Scizor,Pincer Pokemon,2,0,bug,steel,"['Swarm', 'Technician', 'Light Metal']",600,70,150,140,65,100,75,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,25,1000000,70,6400,1.8,118,50
